date;open;close;tickvol
2025.10.27;24.1100;23.3400;11242
2025.10.28;23.1800;22.7300;15554
2025.10.29;22.7000;22.5400;12566
2025.10.30;22.3700;22.4000;11660
2025.10.31;22.5850;22.6500;12333
2025.11.03;22.5000;22.4900;12156
2025.11.04;22.0400;22.0900;13010
2025.11.05;21.9500;21.6600;17739
2025.11.06;23.0900;23.6400;31667
2025.11.07;23.7700;23.8300;12705
2025.11.10;24.1900;24.3500;12844
2025.11.11;24.6600;24.5900;11774
2025.11.12;24.3700;23.8900;12380
2025.11.13;24.0000;24.6900;42940
2025.11.14;24.7000;24.7900;13220
2025.11.17;24.7100;24.3800;13015
2025.11.18;24.2950;24.9200;11939
2025.11.19;23.9700;24.0500;14928
2025.11.20;24.1450;23.3800;17418
2025.11.21;23.2500;23.9500;13726
2025.11.24;23.7600;24.4100;11559
2025.11.25;24.2000;24.0800;10932
2025.11.26;24.1700;24.6700;10394
2025.11.28;24.6800;24.9700;3857
2025.12.01;24.8500;25.2900;11278
2025.12.02;25.2800;25.4500;8873
2025.12.03;25.7200;26.9500;16453
2025.12.04;26.9700;26.7100;13919
2025.12.05;26.8100;27.1000;12449
2025.12.08;26.5100;26.1400;13304
2025.12.09;25.9900;26.3900;8989
2025.12.10;26.3900;26.3200;12227
2025.12.11;25.9200;25.9500;8799
2025.12.12;26.1200;25.9130;8553
2025.12.15;25.8850;25.2700;10527
2025.12.16;25.0400;23.9600;15845
2025.12.17;24.3000;24.6300;12353
2025.12.18;24.4650;23.8100;12806
2025.12.19;24.0100;24.1200;11246
2025.12.22;24.5000;24.4100;8738
2025.12.23;24.4400;24.3600;5362
2025.12.24;24.3800;24.3600;2775
2025.12.26;24.2600;24.1800;6242
2025.12.29;24.3800;24.3800;6889
2025.12.30;24.6000;24.7000;5349
2025.12.31;24.7000;24.4600;5482
2026.01.02;24.5800;25.3600;9956
2026.01.05;25.5300;24.4700;16712
2026.01.06;24.3300;23.8750;10046
2026.01.07;23.8450;23.3900;11668
2026.01.08;23.5100;25.3700;17902
2026.01.09;25.4400;25.2000;7952
2026.01.12;25.3400;24.9200;6340
2026.01.13;25.5000;25.7200;12857
2026.01.14;26.1200;26.6900;17391
2026.01.15;26.0600;26.0100;15455
2026.01.16;26.0400;25.7800;6918
2026.01.20;26.0500;25.3500;9983
2026.01.21;25.6700;26.5400;13776
2026.01.22;26.0000;25.5500;14621
2026.01.23;26.2200;25.8000;14259
2026.01.26;26.0900;25.4000;10431
2026.01.27;25.6000;25.8300;11138
2026.01.28;26.1600;26.0100;13288
2026.01.29;27.0300;26.2600;24905
2026.01.30;26.2400;26.4100;16646
2026.02.02;25.3900;25.8900;15060
2026.02.03;25.9300;26.4600;19432
2026.02.04;26.7967;27.3800;23224
2026.02.05;26.9700;26.4800;13431
2026.02.06;26.6200;27.4600;11864
2026.02.09;27.4600;27.4900;11820
2026.02.10;27.4400;27.4500;8536
2026.02.11;28.0000;28.2600;13068
2026.02.12;28.1250;26.9200;15443
2026.02.13;26.8700;27.9200;10105
2026.02.17;28.0000;27.3400;10675
2026.02.18;27.8700;28.6100;17125
2026.02.19;29.1100;29.0800;17327
2026.02.20;28.8000;29.0600;13591
2026.02.23;29.0200;28.7200;10429
2026.02.24;28.7100;28.6200;7685
2026.02.25;28.6200;27.8400;12092
2026.02.26;27.6000;29.0650;17052
2026.02.27;29.5900;30.3700;16374
2026.03.02;32.5200;31.6900;27056
2026.03.03;32.1150;31.8500;26126
2026.03.04;30.9500;31.1000;16097
2026.03.05;31.6900;32.3800;22187
2026.03.06;32.8900;32.6800;23559
2026.03.09;33.2330;32.5900;24785
2026.03.10;32.0500;31.8200;16996
2026.03.11;31.6800;32.9700;13431
2026.03.12;33.1200;33.6100;17884
2026.03.13;33.3500;34.4700;14631
2026.03.16;34.4082;34.5400;17654
2026.03.17;34.6000;35.8650;13318
2026.03.18;35.8700;36.6100;13928
2026.03.19;37.0000;38.0600;25470
2026.03.20;38.3300;39.1100;23288
2026.03.23;38.1700;39.0300;27704
2026.03.24;39.8700;40.8000;22295
2026.03.25;40.1177;41.3200;21557
2026.03.26;41.8300;42.8000;18651
2026.03.27;43.2500;44.3900;23546
2026.03.30;44.9930;43.7400;27259
2026.03.31;43.5500;42.4400;32369
2026.04.01;41.3500;41.3500;37165
2026.04.02;43.6650;42.0400;20443
2026.04.06;41.8900;43.0200;14711
2026.04.07;43.4500;42.9600;13361
2026.04.08;37.0200;38.7500;32768
2026.04.09;39.2600;38.9700;22201
2026.04.10;38.5800;38.6300;10742
2026.04.13;39.6250;39.4900;14223
2026.04.14;38.8200;37.0300;17844
2026.04.15;36.7150;36.6000;13483
2026.04.16;36.6000;37.9000;13763
2026.04.17;34.6200;35.7400;25919
2026.04.20;35.9300;35.9650;12971
2026.04.21;36.1400;37.6000;14051
2026.04.22;37.8200;38.0600;8263
2026.04.23;38.3900;38.6600;9258
2026.04.24;38.5000;37.7300;8312
2026.04.27;38.1200;38.4300;9623
2026.04.28;39.3400;38.6500;12362
2026.04.29;39.7250;40.3200;12718
2026.04.30;39.3900;40.7300;14437
2026.05.01;40.3300;40.1300;15159
2026.05.04;40.6000;42.0280;11493
2026.05.05;41.7110;41.4900;14998
2026.05.06;39.2100;38.3000;19349
2026.05.07;36.5000;36.2400;24715
2026.05.08;36.2100;35.5600;16884
2026.05.11;36.7000;36.7000;12627
2026.05.12;37.1400;37.0900;10252
2026.05.13;37.2300;36.9700;9334
2026.05.14;36.7300;37.1100;9879
2026.05.15;37.5500;38.9800;17451
2026.05.18;38.8800;40.1500;12883
2026.05.19;40.8600;40.9100;13545
2026.05.20;40.9600;39.3200;13169
2026.05.21;40.2900;38.3400;13305
2026.05.22;38.1500;38.8000;7697
2026.05.26;38.5200;37.5000;7158
2026.05.27;36.5000;36.6200;9345
2026.05.28;37.3300;36.5300;7077
2026.05.29;36.1600;36.4300;8799
2026.06.01;37.4300;37.7500;9200
2026.06.02;37.6400;37.8100;5939
2026.06.03;38.2400;38.3300;8502
2026.06.04;37.4600;38.2200;6282
2026.06.05;38.0300;36.5700;7089
2026.06.08;37.3000;37.6600;6932
2026.06.09;37.1000;36.6100;12267
2026.06.10;37.5600;38.0000;8818
2026.06.11;38.6700;36.7800;8314
2026.06.12;36.2200;37.0200;8438
2026.06.15;34.7300;34.7700;15596
2026.06.16;33.8500;34.2600;12717
2026.06.17;34.1600;33.9300;10802
2026.06.18;33.3400;33.0300;15136
2026.06.22;33.6600;34.2000;14106
2026.06.23;33.8000;34.2200;9757
2026.06.24;33.1000;33.3300;10121
2026.06.25;33.0600;33.4200;10212
2026.06.26;33.1500;33.0100;12088
2026.06.29;33.1100;32.9600;9169
2026.06.30;33.0000;32.5700;7871
2026.07.01;32.3300;31.8700;8415
2026.07.02;32.2500;32.3600;9272
2026.07.06;32.1700;32.4600;7207
2026.07.07;32.6000;34.0000;13346
2026.07.08;34.9200;35.0600;14756
2026.07.09;34.5900;33.2900;8485
2026.07.10;33.4700;33.4400;5903
2026.07.13;34.2300;34.6700;12639
